State,District,Latitude,Longitude,District code,Population,Sex_ratio,Literacy_rate,Male_Literacy_rate,Female_Literacy_rate,SC_ratio,ST_ratio,Worker_ratio,Male_Worker_ratio,Female_Worker_ratio,Main_Worker_ratio,Marginal_Worker_ratio,Non_Worker_ratio,Hindu_ratio,Muslim_ratio,Christian_ratio,Sikh_ratio,Buddhist_ratio,Jain_ratio,Other_religion_ratio,Religion_not_stated_ratio,Households_with_electricity_ratio,Households_with_LPG_ratio,Households_with_internet_ratio,Households_with_computer_ratio,Rural_household_ratio,Urban_household_ratio,Households_with_bicycle_ratio,Households_with_car_ratio,Households_with_radio_ratio,Households_with_scooter_ratio,Households_with_tv_ratio,Households_with_phone_ratio,Below_primary_ratio,Primary_ratio,Middle_ratio,Secondary_ratio,Higher_ratio,Graduate_ratio,Other_education_ratio,Illiteracy_rate,Age_0_29_ratio,Age_30_49_ratio,Age_50_ratio,Age_not_stated_ratio,Tapwater_ratio,Handpump_ratio,Wellwater_ratio,Springwater_ratio,Riverwater_ratio,Households_with_latrine_ratio,Households_with_bathing_facility_ratio,Low_income_ratio,Middle_income_ratio,High_income_ratio,Power_Parity_Less_than_Rs_45000_ratio,Power_Parity_Rs_45000_90000_ratio,Power_Parity_Rs_90000_150000_ratio,Power_Parity_Rs_45000_150000_ratio,Power_Parity_Rs_150000_240000_ratio,Power_Parity_Rs_240000_330000_ratio,Power_Parity_Rs_150000_330000_ratio,Power_Parity_Rs_330000_425000_ratio,Power_Parity_Rs_425000_545000_ratio,Power_Parity_Rs_330000_545000_ratio,Power_Parity_Above_Rs_545000_ratio
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1001.0,54.0,63.0,46.0,18.0,18.0,48.0,55.0,42.0,81.0,19.0,52.0,88.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,69.0,24.0,1.0,6.0,73.0,27.0,18.0,1.0,3.0,12.0,37.0,49.0,10.0,14.0,12.0,10.0,6.0,4.0,1.0,43.0,56.0,26.0,15.0,3.0,33.0,33.0,11.0,0.0,0.0,23.0,46.0,15.0,69.0,3.0,15.0,38.0,30.0,69.0,2.0,3.0,5.0,3.0,5.0,8.0,3.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,977.0,57.0,65.0,48.0,14.0,4.0,50.0,59.0,41.0,82.0,18.0,50.0,88.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,18.0,1.0,4.0,73.0,27.0,17.0,1.0,5.0,12.0,45.0,47.0,12.0,19.0,15.0,9.0,4.0,4.0,1.0,36.0,54.0,27.0,18.0,1.0,66.0,9.0,0.0,0.0,0.0,28.0,61.0,17.0,67.0,4.0,17.0,39.0,28.0,67.0,2.0,3.0,5.0,3.0,5.0,8.0,4.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,997.0,64.0,71.0,57.0,19.0,4.0,46.0,58.0,35.0,86.0,14.0,54.0,90.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,25.0,1.0,5.0,70.0,30.0,17.0,1.0,7.0,14.0,47.0,49.0,12.0,18.0,16.0,13.0,6.0,6.0,1.0,28.0,51.0,28.0,19.0,1.0,64.0,10.0,1.0,0.0,0.0,29.0,58.0,17.0,65.0,5.0,17.0,38.0,26.0,65.0,4.0,2.0,7.0,3.0,4.0,6.0,5.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,1006.0,64.0,67.0,61.0,18.0,4.0,41.0,60.0,21.0,83.0,17.0,59.0,97.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,81.0,30.0,1.0,6.0,75.0,25.0,49.0,2.0,7.0,14.0,51.0,46.0,13.0,19.0,16.0,10.0,5.0,5.0,1.0,30.0,53.0,29.0,18.0,0.0,57.0,21.0,8.0,0.0,0.0,50.0,54.0,18.0,67.0,4.0,18.0,40.0,27.0,67.0,3.0,2.0,5.0,3.0,4.0,7.0,4.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,1003.0,61.0,67.0,54.0,20.0,5.0,49.0,59.0,38.0,88.0,12.0,51.0,86.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,75.0,41.0,1.0,5.0,68.0,32.0,29.0,1.0,7.0,12.0,52.0,46.0,16.0,18.0,14.0,10.0,5.0,5.0,1.0,31.0,53.0,28.0,19.0,0.0,47.0,27.0,4.0,0.0,0.0,48.0,57.0,16.0,66.0,5.0,16.0,38.0,28.0,66.0,3.0,3.0,6.0,3.0,5.0,8.0,5.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,954.0,73.0,76.0,70.0,6.0,1.0,36.0,52.0,19.0,78.0,22.0,64.0,52.0,43.0,2.0,0.0,0.0,0.0,0.0,2.0,82.0,55.0,14.0,26.0,0.0,100.0,22.0,12.0,27.0,41.0,70.0,75.0,6.0,15.0,17.0,20.0,13.0,14.0,1.0,14.0,57.0,27.0,14.0,2.0,81.0,1.0,0.0,0.0,0.0,81.0,82.0,4.0,47.0,15.0,4.0,18.0,29.0,47.0,15.0,4.0,20.0,6.0,8.0,14.0,15.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1008.0,58.0,67.0,50.0,19.0,3.0,50.0,56.0,44.0,85.0,15.0,50.0,92.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,30.0,1.0,4.0,75.0,25.0,35.0,1.0,3.0,17.0,51.0,59.0,9.0,13.0,13.0,13.0,8.0,7.0,1.0,36.0,51.0,27.0,19.0,2.0,58.0,12.0,11.0,0.0,0.0,39.0,58.0,18.0,68.0,4.0,18.0,41.0,27.0,68.0,2.0,2.0,4.0,2.0,3.0,6.0,4.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1011.0,58.0,65.0,52.0,17.0,27.0,50.0,58.0,43.0,86.0,14.0,50.0,93.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,25.0,1.0,5.0,77.0,23.0,31.0,1.0,4.0,13.0,48.0,49.0,12.0,14.0,14.0,10.0,6.0,7.0,1.0,36.0,55.0,28.0,17.0,1.0,54.0,24.0,5.0,0.0,1.0,41.0,46.0,19.0,68.0,3.0,19.0,41.0,26.0,68.0,2.0,2.0,4.0,2.0,4.0,6.0,3.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,992.0,67.0,71.0,63.0,19.0,3.0,45.0,59.0,32.0,85.0,15.0,55.0,89.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,79.0,43.0,2.0,7.0,62.0,38.0,36.0,2.0,8.0,14.0,54.0,50.0,14.0,15.0,14.0,12.0,7.0,7.0,1.0,30.0,52.0,28.0,18.0,1.0,61.0,14.0,6.0,0.0,0.0,58.0,61.0,15.0,66.0,5.0,15.0,37.0,29.0,66.0,4.0,3.0,6.0,3.0,4.0,8.0,5.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,988.0,52.0,61.0,44.0,18.0,2.0,50.0,57.0,43.0,87.0,13.0,50.0,82.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,18.0,1.0,5.0,72.0,28.0,25.0,1.0,7.0,11.0,50.0,52.0,14.0,18.0,12.0,7.0,4.0,3.0,1.0,41.0,58.0,26.0,15.0,1.0,64.0,13.0,2.0,1.0,1.0,32.0,64.0,20.0,66.0,3.0,20.0,41.0,26.0,66.0,2.0,2.0,4.0,3.0,4.0,6.0,3.0
